Date,FB,AMZN,AAPL,NFLX,GOOG,SPX,TSLA,MSFT,SBUX,CSCO
2014-01-02,54.709999,397.970001,70.74733,51.831429,554.481689,1831.98,30.02,37.16,38.585,22
2014-01-03,54.560001,396.440002,69.193306,51.871429,550.436829,1831.37,29.912,36.91,38.475,21.98
2014-01-06,57.200001,393.630005,69.570625,51.367142,556.573853,1826.77,29.4,36.13,38.085,22.01
2014-01-07,57.919998,398.029999,69.073074,48.5,567.303589,1837.88,29.872,36.41,38.605,22.31
2014-01-08,58.23,401.920013,69.510536,48.712856,568.484192,1837.49,30.256,35.76,39.015,22.293
2014-01-09,57.220001,401.01001,68.622864,48.150002,563.009705,1838.13,29.506,35.53,38.8,22.09
2014-01-10,57.939999,397.660004,68.164963,47.44857,562.979797,1842.37,29.144,36.04,38.835,22.22
2014-01-13,55.91,390.980011,68.521805,48.115715,559.39325,1819.2,27.868,34.98,37.56,22.19
2014-01-14,57.740002,397.540009,69.885277,48.279999,572.553955,1838.88,32.254,35.78,37.73,22.41
2014-01-15,57.599998,395.869995,71.288383,47.197144,572.165405,1848.38,32.826,36.76,38.095,22.78
2014-01-16,57.189999,395.799988,70.890602,47.382858,575.951172,1845.89,34.194,36.89,37.645,22.78
2014-01-17,56.299999,399.609985,69.153648,47.148571,573.116821,1838.7,34.002,36.38,37.45,22.74
2014-01-21,58.509998,407.049988,70.228043,46.958572,579.677246,1843.8,35.336,36.17,36.825,22.83
2014-01-22,57.509998,404.540009,70.540138,47.675713,580.334778,1844.86,35.712,35.93,36.8,22.84
2014-01-23,56.630001,399.869995,71.137444,55.531429,577.883972,1828.46,36.3,36.055,36.695,22.56
2014-01-24,54.450001,387.600006,69.84433,55.154285,559.81665,1790.29,34.92,36.805,37.49,22.2
2014-01-27,53.549999,386.279999,70.410957,54.46143,548.558838,1781.56,33.924,36.03,37.105,22
2014-01-28,55.139999,394.429993,64.783195,58.110001,559.408203,1792.5,35.676,36.27,36.945,21.75
2014-01-29,53.529999,384.200012,64.047737,57.202858,551.39325,1774.2,35.046,36.66,35.78,21.65
2014-01-30,61.080002,403.01001,63.923672,57.810001,565.575073,1794.19,36.568,36.86,35.955,21.976
2014-01-31,62.57,358.690002,64.028564,58.475716,588.279968,1782.59,36.282,37.84,35.56,21.91
2014-02-03,61.48,346.149994,64.147514,57.76857,564.598755,1741.89,35.422,36.48,34.485,21.55
2014-02-04,62.75,347.950012,65.076096,57.987144,566.954895,1755.2,35.746,36.35,35.325,21.8
2014-02-05,62.189999,346.450012,65.562119,57.774284,569.465515,1751.64,34.884,35.82,35.245,21.98
2014-02-06,62.16,354.589996,65.944275,58.272858,577.814209,1773.43,35.676,36.18,36.18,22.49
2014-02-07,64.32,361.079987,66.866844,61.425713,586.521545,1797.02,37.306,36.56,37.0175,22.67
2014-02-10,63.549999,360.869995,68.064728,61.491428,584.274963,1799.84,39.312,36.8,37.4,22.83
2014-02-11,64.849998,361.790009,68.961555,61.998573,592.867798,1819.75,39.324,37.175,37.25,22.71
2014-02-12,64.449997,349.25,68.956413,61.275715,591.129272,1819.26,39.064,37.47,36.955,22.85
2014-02-13,67.330002,357.200012,70.051384,62.364285,597.709656,1829.83,39.926,37.61,37.345,22.27
2014-02-14,67.089996,357.350006,69.994781,62.215714,599.154236,1838.63,39.646,37.62,37.515,22.56
2014-02-18,67.300003,353.649994,70.252129,62.407143,603.179138,1840.76,40.74,37.42,36.985,22.41
2014-02-19,68.059998,347.380005,69.14299,61.175713,598.92511,1828.75,38.728,37.51,36.66,22.28
2014-02-20,69.629997,349.799988,68.342667,62.135715,599.806763,1839.78,41.994,37.75,36.775,22.3
2014-02-21,68.589996,346.76001,67.583511,61.747143,599.6474,1836.25,41.92,37.98,36.28,22.13
2014-02-24,70.779999,351.779999,67.879448,63.857143,603.991089,1847.61,43.53,37.69,36.28,22.12
2014-02-25,69.849998,358.320007,67.173065,64.718575,607.722107,1845.12,49.6,37.54,35.275,21.84
2014-02-26,69.260002,359.799988,66.567039,64.112854,607.806763,1845.16,50.6,37.47,35.89,21.93
2014-02-27,68.940002,360.130005,67.894882,64.604286,607.328613,1854.29,50.508,37.86,36.095,21.92
2014-02-28,68.459999,362.100006,67.710892,63.66143,605.555237,1859.45,48.962,38.31,35.48,21.8
2014-03-03,67.410004,359.779999,67.906464,63.655716,599.099426,1845.73,50.112,37.78,35.235,21.57
2014-03-04,68.800003,363.899994,68.354248,64.997147,605.186584,1873.91,50.968,38.41,35.83,21.82
2014-03-05,71.57,372.369995,68.498352,64.785713,606.855347,1873.81,50.532,38.11,35.65,21.87
